iter	Passed	Remaining
412	2107	2994
413	2110	2986
414	2112	2978
415	2115	2969
416	2117	2960
417	2119	2951
418	2121	2942
419	2124	2933
420	2126	2925
421	2129	2916
422	2131	2907
423	2134	2899
424	2137	2891
425	2140	2884
426	2142	2875
427	2145	2866
428	2147	2858
429	2149	2849
430	2153	2842
431	2155	2834
432	2158	2826
433	2160	2817
434	2162	2808
435	2165	2801
436	2167	2792
437	2170	2784
438	2172	2776
439	2174	2767
440	2176	2759
441	2178	2750
442	2180	2742
443	2183	2734
444	2185	2726
445	2188	2718
446	2190	2709
447	2192	2701
448	2194	2693
449	2197	2685
450	2199	2677
451	2202	2669
452	2204	2662
453	2206	2653
454	2209	2646
455	2211	2638
456	2213	2630
457	2216	2622
458	2218	2614
459	2220	2606
460	2222	2598
461	2224	2590
462	2227	2583
463	2229	2575
464	2232	2568
465	2241	2568
466	2244	2561
467	2247	2554
468	2249	2547
469	2251	2539
470	2254	2532
471	2257	2525
472	2260	2519
473	2263	2511
474	2266	2504
475	2268	2497
476	2271	2490
477	2273	2483
478	2276	2476
479	2279	2469
480	2281	2461
481	2284	2455
482	2287	2448
483	2290	2441
484	2292	2434
485	2295	2427
486	2299	2422
487	2302	2415
488	2304	2408
489	2306	2401
490	2309	2393
491	2311	2386
492	2314	2380
493	2316	2373
494	2319	2365
495	2321	2358
496	2323	2351
497	2325	2344
498	2329	2338
499	2333	2333
500	2337	2328
501	2341	2322
502	2344	2316
503	2347	2310
504	2350	2304
505	2354	2298
506	2357	2292
507	2361	2287
508	2365	2281
509	2368	2275
510	2373	2271
511	2376	2264
512	2379	2258
513	2382	2252
514	2386	2247
515	2390	2242
516	2393	2235
517	2398	2231
518	2401	2225
519	2406	2221
520	2409	2215
521	2412	2208
522	2414	2202
523	2417	2195
524	2419	2189
525	2422	2183
526	2424	2176
527	2427	2170
528	2430	2163
529	2433	2157
530	2438	2153
531	2442	2148
532	2445	2142
533	2448	2137
534	2451	2130
535	2455	2125
536	2458	2119
537	2461	2113
538	2464	2108
539	2467	2102
540	2471	2097
541	2475	2091
542	2478	2086
543	2481	2080
544	2484	2074
545	2487	2068
546	2491	2063
547	2495	2057
548	2499	2053
549	2503	2048
550	2507	2043
551	2510	2037
552	2513	2031
553	2517	2026
554	2521	2021
555	2524	2015
556	2527	2010
557	2532	2006
558	2536	2000
559	2540	1996
560	2543	1990
561	2548	1985
562	2551	1980
563	2555	1975
564	2560	1971
565	2564	1966
566	2568	1961
567	2571	1955
568	2574	1949
569	2578	1945
570	2581	1939
571	2585	1934
572	2588	1928
573	2590	1922
574	2595	1918
575	2598	1913
576	2603	1908
577	2606	1903
578	2610	1897
579	2614	1893
580	2620	1889
581	2626	1886
582	2632	1882
583	2636	1878
584	2640	1873
585	2643	1867
586	2645	1861
587	2647	1855
588	2649	1849
589	2652	1842
590	2654	1837
591	2656	1831
592	2658	1824
593	2661	1818
594	2663	1812
595	2666	1807
596	2669	1801
597	2671	1795
598	2674	1790
599	2676	1784
600	2678	1778
601	2680	1772
602	2682	1766
603	2685	1760
604	2687	1754
605	2689	1748
606	2692	1743
607	2694	1737
608	2697	1731
609	2700	1726
610	2702	1720
611	2704	1714
612	2706	1708
613	2708	1702
614	2710	1696
615	2712	1690
616	2715	1685
617	2717	1679
618	2719	1673
619	2722	1668
620	2724	1662
621	2727	1657
622	2730	1652
623	2732	1646
624	2735	1641
625	2737	1635
626	2739	1629
627	2742	1624
628	2745	1619
629	2747	1613
630	2750	1608
631	2753	1603
632	2756	1598
633	2759	1593
634	2762	1587
635	2764	1582
636	2766	1576
637	2768	1570
638	2771	1565
639	2773	1560
640	2776	1554
641	2778	1549
642	2781	1544
643	2783	1538
644	2785	1532
645	2787	1527
646	2790	1522
647	2792	1516
648	2794	1511
649	2796	1505
650	2798	1500
651	2800	1494
652	2803	1489
653	2806	1484
654	2808	1479
655	2811	1474
656	2813	1468
657	2815	1463
658	2817	1458
659	2820	1452
660	2822	1447
661	2825	1442
662	2827	1437
663	2829	1432
664	2832	1426
665	2834	1421
666	2837	1416
667	2839	1411
668	2842	1406
669	2844	1400
670	2846	1395
671	2849	1390
672	2852	1385
673	2854	1380
674	2857	1375
675	2859	1370
676	2862	1365
677	2865	1360
678	2867	1355
679	2869	1350
680	2871	1345
681	2874	1340
682	2876	1335
683	2879	1330
684	2881	1325
685	2884	1320
686	2887	1315
687	2889	1310
688	2892	1305
689	2894	1300
690	2897	1295
691	2899	1290
692	2901	1285
693	2904	1280
694	2906	1275
695	2908	1270
696	2911	1265
697	2913	1260
698	2915	1255
699	2917	1250
700	2919	1245
701	2922	1240
702	2925	1235
703	2927	1230
704	2929	1225
705	2932	1221
706	2934	1216
707	2937	1211
708	2939	1206
709	2942	1201
710	2944	1196
711	2946	1192
712	2949	1187
713	2952	1182
714	2954	1177
715	2957	1172
716	2959	1168
717	2962	1163
718	2964	1158
719	2967	1153
720	2969	1149
721	2971	1144
722	2974	1139
723	2976	1134
724	2978	1129
725	2981	1125
726	2983	1120
727	2985	1115
728	2987	1110
729	2989	1105
730	2991	1100
731	2993	1096
732	2996	1091
733	2998	1086
734	3000	1081
735	3002	1077
736	3005	1072
737	3007	1067
738	3009	1063
739	3012	1058
740	3024	1057
741	3026	1052
742	3028	1047
743	3030	1042
744	3033	1038
745	3035	1033
746	3037	1028
747	3039	1024
748	3041	1019
749	3043	1014
750	3046	1009
751	3048	1005
752	3050	1000
753	3052	995
754	3054	991
755	3056	986
756	3058	981
757	3060	977
758	3062	972
759	3064	967
760	3066	963
761	3068	958
762	3070	953
763	3072	949
764	3074	944
765	3077	939
766	3079	935
767	3080	930
768	3082	926
769	3084	921
770	3087	916
771	3089	912
772	3091	907
773	3093	903
774	3095	898
775	3097	894
776	3099	889
777	3102	885
778	3104	880
779	3106	876
780	3108	871
781	3110	867
782	3112	862
783	3114	858
784	3117	853
785	3119	849
786	3121	844
787	3123	840
788	3126	836
789	3130	832
790	3132	827
791	3134	823
792	3137	818
793	3139	814
794	3141	810
795	3144	805
796	3146	801
797	3148	797
798	3151	792
799	3153	788
800	3155	784
801	3158	779
802	3160	775
803	3162	771
804	3164	766
805	3167	762
806	3169	758
807	3171	753
808	3175	749
809	3179	745
810	3181	741
811	3183	737
812	3186	732
813	3188	728
814	3191	724
815	3193	720
816	3195	715
817	3197	711
818	3199	707
819	3201	702
820	3204	698
821	3205	694
822	3207	689
823	3209	685
824	3211	681
825	3213	676
826	3215	672
827	3218	668
828	3220	664
829	3222	660
830	3224	655
831	3226	651
832	3228	647
833	3231	643
834	3233	638
835	3235	634
836	3237	630
837	3239	626
838	3241	622
839	3243	617
840	3246	613
841	3248	609
842	3250	605
843	3252	601
844	3255	597
845	3257	592
846	3259	588
847	3261	584
848	3264	580
849	3266	576
850	3268	572
851	3270	568
852	3272	563
853	3274	559
854	3277	555
855	3279	551
856	3281	547
857	3283	543
858	3285	539
859	3288	535
860	3290	531
861	3293	527
862	3295	523
863	3297	518
864	3298	514
865	3301	510
866	3303	506
867	3305	502
868	3307	498
869	3310	494
870	3312	490
871	3314	486
872	3316	482
873	3319	478
874	3321	474
875	3323	470
876	3325	466
877	3327	462
878	3330	458
879	3332	454
880	3334	450
881	3336	446
882	3339	442
883	3341	438
884	3343	434
885	3345	430
886	3347	426
887	3349	422
888	3351	418
889	3353	414
890	3356	410
891	3358	406
892	3360	402
893	3362	398
894	3364	394
895	3366	390
896	3369	386
897	3371	382
898	3373	378
899	3375	375
900	3377	371
901	3379	367
902	3381	363
903	3383	359
904	3385	355
905	3387	351
906	3389	347
907	3392	343
908	3394	339
909	3396	335
910	3398	332
911	3400	328
912	3403	324
913	3405	320
914	3407	316
915	3410	312
916	3412	308
917	3414	304
918	3416	301
919	3418	297
920	3420	293
921	3422	289
922	3425	285
923	3427	281
924	3429	278
925	3431	274
926	3433	270
927	3435	266
928	3437	262
929	3439	258
930	3441	255
931	3444	251
932	3446	247
933	3448	243
934	3450	239
935	3453	236
936	3455	232
937	3457	228
938	3460	224
939	3462	221
940	3464	217
941	3467	213
942	3469	209
943	3471	205
944	3473	202
945	3475	198
946	3477	194
947	3479	190
948	3482	187
949	3486	183
950	3489	179
951	3492	176
952	3495	172
953	3498	168
954	3500	164
955	3503	161
956	3506	157
957	3508	153
958	3510	150
959	3513	146
960	3515	142
961	3518	138
962	3520	135
963	3523	131
964	3525	127
965	3527	124
966	3530	120
967	3532	116
968	3535	113
969	3537	109
970	3539	105
971	3541	102
972	3543	98
973	3546	94
974	3548	90
975	3550	87
976	3552	83
977	3554	79
978	3557	76
979	3559	72
980	3561	68
981	3564	65
982	3566	61
983	3569	58
984	3571	54
985	3573	50
986	3575	47
987	3578	43
988	3580	39
989	3583	36
990	3585	32
991	3587	28
992	3589	25
993	3591	21
994	3594	18
995	3596	14
996	3599	10
997	3601	7
998	3603	3
999	3606	0
