engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions,make_type,vehicle_class_type
2.4,4,A6,X,10.5,7.3,9.1,31,209.0,Premium,SUV
6.0,9,A8,Z,18.7,11.5,15.5,18,356.0,Premium,Sedan
1.4,4,AS6,X,9.7,7.6,8.7,32,205.0,General,SUV
3.6,6,AS6,E,17.2,11.6,14.7,19,246.0,General,Sedan
3.0,6,M7,Z,12.1,8.3,10.4,27,242.0,Sports,Hatchback
2.5,4,AS6,X,10.6,8.4,9.6,29,225.0,General,SUV
2.0,4,AS8,Z,11.8,8.6,10.3,27,240.0,Premium,SUV
3.6,6,A5,E,18.7,12.4,15.9,18,264.0,Premium,Sedan
3.0,6,AM7,Z,11.0,8.4,9.8,29,230.0,Sports,Hatchback
3.6,6,A9,X,13.6,9.6,11.8,24,276.0,General,SUV
4.0,8,AS8,Z,17.7,10.0,14.2,20,334.0,Luxury,Sedan
1.8,4,AV,X,8.1,6.3,7.3,39,171.0,General,Sedan
3.5,6,A6,X,14.0,10.6,12.5,23,292.0,General,Truck
2.0,4,AS6,X,8.9,6.4,7.8,36,179.0,General,Hatchback
2.0,4,AS8,Z,11.0,7.6,9.5,30,222.0,Premium,Sedan
4.0,8,A9,Z,15.6,11.5,13.7,21,324.0,Premium,Hatchback
2.0,4,AS8,Z,10.8,6.7,8.9,32,211.0,Premium,Hatchback
2.0,4,AS6,X,10.1,7.6,9.0,31,214.0,General,Sedan
1.4,4,M5,X,8.3,5.9,7.2,39,168.0,General,Hatchback
6.2,8,AS10,Z,18.8,11.3,15.4,18,361.0,General,Hatchback
1.5,4,AV7,X,7.6,6.5,7.0,40,166.0,General,Sedan
2.0,4,M5,X,9.6,6.9,8.4,34,193.0,General,Hatchback
2.0,4,AS8,Z,11.2,7.5,9.6,29,221.0,Premium,Hatchback
4.4,8,AS8,Z,14.7,9.7,12.5,23,292.0,Premium,Sedan
2.0,4,AS8,Z,11.0,7.7,9.5,30,222.0,Premium,SUV
2.0,4,AS6,Z,11.4,7.9,9.8,29,225.0,General,Sedan
3.0,6,M6,Z,14.1,9.0,11.8,24,278.0,Premium,Hatchback
2.0,4,A8,X,10.5,9.4,10.0,28,233.0,Premium,SUV
2.0,4,AS8,Z,11.0,7.8,9.6,29,221.0,Premium,Hatchback
1.5,4,AS6,X,7.3,5.8,6.6,43,155.0,General,Hatchback
3.5,6,AV,X,13.2,10.1,11.8,24,271.0,General,SUV
3.6,6,A9,E,17.1,11.1,14.4,20,237.0,Premium,Sedan
1.5,3,M6,Z,9.6,7.0,8.4,34,197.0,Premium,Sedan
4.4,8,AM7,Z,17.3,11.5,14.7,19,338.0,Premium,Sedan
3.5,6,AS8,X,12.4,8.9,10.8,26,254.0,General,SUV
4.4,8,M6,Z,16.2,10.9,13.8,20,324.0,Premium,Hatchback
3.0,6,AM8,Z,11.5,9.0,10.4,27,242.0,Sports,Sedan
3.5,6,AV,X,11.6,8.5,10.2,28,240.0,General,SUV
5.7,8,A8,X,16.2,11.5,14.1,20,330.0,General,Truck
3.0,6,AS8,Z,13.9,10.4,12.3,23,283.0,Premium,SUV
2.0,4,AM7,Z,9.9,7.3,8.7,32,204.0,Premium,Hatchback
2.0,4,A8,Z,10.6,7.2,9.1,31,209.0,Premium,Sedan
3.6,6,A6,X,14.8,9.9,12.6,22,290.0,General,SUV
2.4,4,AS6,X,11.3,7.4,9.5,30,218.0,Premium,Hatchback
2.0,4,AS7,Z,9.7,6.6,8.3,34,179.0,Premium,Sedan
3.8,6,AM7,Z,12.6,9.9,11.4,25,266.0,Sports,Hatchback
2.5,4,M6,X,10.7,7.8,9.4,30,216.0,General,Sedan
2.7,6,AS6,X,14.0,9.5,12.0,24,281.0,Luxury,Sedan
1.4,4,A6,X,9.1,6.0,7.7,37,177.0,General,Sedan
1.6,4,AM6,X,4.2,4.0,4.1,47,96.0,General,Sedan
1.8,4,AV,X,4.4,4.6,4.5,47,104.0,General,Sedan
1.8,4,AV,X,8.0,6.1,7.2,39,166.0,General,Sedan
2.5,4,AV6,X,6.9,7.6,7.2,39,169.0,General,SUV
2.0,4,A6,D,8.1,6.4,7.4,38,198.0,General,Sedan
3.0,6,A9,Z,12.9,8.8,11.1,25,255.0,Premium,Hatchback
1.8,4,M5,X,9.0,6.8,8.0,35,184.0,General,Hatchback
2.4,4,AV8,X,10.1,7.9,9.1,31,213.0,General,SUV
3.0,6,AM8,Z,13.1,10.2,11.8,24,277.0,Sports,Hatchback
3.6,6,A8,E,19.7,13.8,17.0,17,283.0,General,Truck
3.6,6,M6,X,14.2,11.0,12.8,22,294.0,Premium,SUV
2.4,4,A6,X,11.0,7.5,9.4,30,221.0,General,SUV
2.0,4,AS8,Z,10.1,7.0,8.7,32,204.0,Premium,Sedan
5.3,8,A6,E,21.6,14.500000000000002,18.4,15,317.0,Premium,SUV
4.6,8,AS8,Z,15.2,10.2,12.9,22,297.0,Premium,Sedan
3.7,6,AS7,Z,13.0,9.5,11.4,25,262.0,General,Sedan
2.0,4,AS6,X,9.8,7.4,8.7,32,205.0,General,Hatchback
5.0,8,AS8,E,21.3,14.1,18.1,16,290.0,Sports,Sedan
2.7,6,AS8,X,12.6,9.2,11.0,26,259.0,General,SUV
2.3,4,AS10,X,11.2,7.3,9.4,30,221.0,General,Hatchback
2.0,4,AS8,Z,10.9,7.7,9.5,30,221.0,Premium,Hatchback
5.3,8,A6,X,15.8,11.1,13.7,21,321.0,Premium,SUV
2.0,4,AV,X,8.1,7.2,7.7,37,177.0,General,SUV
6.2,8,M6,Z,18.1,11.4,15.1,19,347.0,Premium,Sedan
2.0,4,AS6,Z,10.6,8.4,9.6,29,225.0,Premium,SUV
1.6,4,M6,Z,9.4,7.6,8.6,33,201.0,Premium,Hatchback
2.0,4,AS8,Z,10.4,6.8,8.8,32,207.0,Premium,Hatchback
4.2,8,M6,Z,20.5,11.7,16.6,17,382.0,Premium,Sedan
4.0,8,AS7,Z,13.4,9.6,11.7,24,273.0,Premium,Hatchback
1.8,4,AS6,X,9.7,7.2,8.5,33,199.0,General,Hatchback
5.3,8,A6,E,20.0,13.5,17.1,17,284.0,General,SUV
2.0,4,M6,Z,10.7,6.9,9.0,31,207.0,Premium,Sedan
5.7,8,A8,X,16.1,11.5,14.0,20,328.0,General,Truck
3.0,6,M7,Z,12.1,8.3,10.4,27,242.0,Sports,Hatchback
4.3,6,A6,X,14.1,10.6,12.5,23,294.0,General,Truck
3.0,6,AM7,Z,13.7,10.0,12.1,23,278.0,Premium,Sedan
3.0,6,M7,Z,12.1,8.3,10.3,27,242.0,Sports,Hatchback
5.3,8,A6,X,15.2,10.8,13.2,21,310.0,Premium,SUV
4.4,8,AS8,Z,14.7,9.7,12.5,23,292.0,Premium,Hatchback
3.0,6,AS8,Z,13.2,9.2,11.4,25,262.0,Premium,SUV
2.5,4,A9,X,10.8,8.8,9.9,29,232.0,General,SUV
2.3,4,AS10,X,11.8,8.4,10.3,27,242.0,General,Hatchback
2.4,4,AS4,X,10.9,8.6,9.9,29,228.0,General,Sedan
2.0,4,AS6,Z,9.4,7.2,8.4,34,196.0,Premium,Hatchback
4.7,8,A9,Z,14.3,9.2,12.0,24,280.0,Premium,Sedan
2.0,4,AS7,Z,9.2,6.6,8.0,35,188.0,Premium,Sedan
3.5,6,AS6,X,13.9,9.5,11.9,24,274.0,General,Sedan
3.6,6,AS6,X,12.5,8.2,10.6,27,244.0,General,Sedan
4.4,8,AS8,Z,13.3,9.2,11.5,25,269.0,Premium,Sedan
2.5,4,AS8,X,9.5,7.0,8.4,34,197.0,General,Sedan
1.6,4,AV7,Z,8.8,7.5,8.2,34,194.0,General,Sedan
2.5,4,AS6,X,10.0,7.5,8.9,32,208.0,General,Sedan
2.0,4,AS6,X,10.9,8.0,9.6,29,221.0,General,SUV
2.0,4,AS6,Z,9.6,7.0,8.4,34,193.0,General,Hatchback
5.5,8,AS7,Z,15.1,10.7,13.1,22,301.0,Premium,Hatchback
6.2,8,AS8,Z,17.2,10.1,14.0,20,331.0,General,Sedan
4.0,8,A9,Z,14.0,8.7,11.6,24,271.0,Premium,Hatchback
6.0,9,AS7,Z,17.1,11.0,14.3,20,348.0,Premium,Hatchback
3.7,6,AS7,Z,14.6,10.7,12.8,22,294.0,Premium,SUV
1.8,4,A4,X,8.6,6.5,7.6,37,179.0,General,Sedan
2.4,4,A6,X,11.5,8.2,10.0,28,230.0,General,SUV
3.5,6,AS6,E,19.6,14.2,17.2,16,284.0,General,SUV
1.6,4,M6,Z,9.1,6.8,8.1,35,186.0,Premium,Sedan
2.0,4,A9,X,11.3,8.7,10.1,28,232.0,Premium,SUV
2.0,4,M6,Z,10.6,8.3,9.6,29,224.0,General,Sedan
3.6,6,A8,X,14.1,10.0,12.2,23,288.0,General,Truck
3.6,6,M6,X,13.7,9.6,11.8,24,277.0,Premium,SUV
1.4,4,AS6,X,9.5,7.1,8.4,34,195.0,General,Hatchback
1.6,4,M6,Z,9.4,7.6,8.6,33,201.0,Premium,Hatchback
2.3,4,AS6,X,11.6,8.0,10.0,28,234.0,General,Hatchback
5.0,8,AS8,Z,15.2,9.8,12.7,22,299.0,Sports,Sedan
6.25,9,AS8,Z,20.4,13.1,17.1,17,400.0,Luxury,Sedan
1.6,4,M6,X,9.0,7.1,8.1,35,191.0,General,Hatchback
5.3,8,A6,X,15.9,11.7,14.0,20,330.0,Premium,Truck
2.0,4,AS8,X,9.9,8.2,9.2,31,214.0,General,Truck
5.0,8,AS8,Z,14.4,11.2,12.9,22,305.0,Premium,SUV
2.0,4,AS8,Z,10.3,6.7,8.7,32,200.0,Premium,Hatchback
3.5,6,AS6,X,16.1,12.7,14.6,19,342.0,General,Truck
1.5,3,M6,Z,8.4,6.0,7.3,39,172.0,Premium,Hatchback
1.6,4,AS6,X,10.8,8.0,9.5,30,218.0,General,Truck
2.3,4,AS10,X,11.8,9.8,10.9,26,256.0,General,Truck
2.0,4,A8,Z,10.6,7.2,9.1,31,209.0,Premium,Sedan
1.8,4,M6,X,8.9,6.6,7.9,36,184.0,General,Sedan
6.2,8,A8,Z,15.9,11.1,13.8,20,317.0,Premium,SUV
2.0,4,A6,X,11.1,8.3,9.8,29,225.0,Premium,SUV
3.3,6,AS6,E,16.7,12.6,14.9,19,247.0,General,Truck
1.5,4,M5,X,8.0,6.7,7.4,38,170.0,General,Hatchback
1.8,4,AV7,X,8.9,7.5,8.2,34,194.0,General,Sedan
3.0,6,AM7,Z,10.7,8.2,9.6,29,224.0,Premium,Sedan
2.0,4,M6,X,10.5,7.8,9.3,30,219.0,General,Sedan
3.5,6,AV,X,12.7,9.0,11.0,26,258.0,General,SUV
5.0,8,AS10,X,14.6,10.9,13.0,22,304.0,General,Truck
1.5,4,M6,X,8.1,6.6,7.4,38,174.0,General,Sedan
1.6,4,AS6,X,8.2,6.2,7.3,39,172.0,General,Hatchback
3.5,6,M6,X,12.9,8.3,10.9,26,253.0,General,Sedan
3.6,6,A8,X,15.0,13.0,14.1,20,331.0,General,Truck
3.7,6,M6,Z,13.6,9.3,11.6,24,267.0,Premium,Hatchback
6.25,9,AS8,Z,20.1,12.1,16.5,17,386.0,Luxury,Sedan
2.0,4,M6,Z,10.8,7.5,9.3,30,214.0,Premium,Hatchback
